ID,Name,Age,Gender,Daily_Usage_Hours,Sleep_Hours,Academic_Performance,Social_Interactions,Exercise_Hours,Anxiety_Level,Depression_Level,Self_Esteem,Parental_Control,Screen_Time_Before_Bed,Phone_Checks_Per_Day,Apps_Used_Daily,Time_on_Social_Media,Time_on_Gaming,Time_on_Education,Phone_Usage_Purpose,Family_Communication,Weekend_Usage_Hours,Addiction_Level,School_Grade
12,Ruben Walters,14,Male,1.6,5.9,70.0,10,1.5,10,8,8,0,0.9,147,18,1.9,2.7,1.0,Browsing,7,3.2,9.8,
13,Sarah Nguyen,19,Female,7.4,5.8,70.0,4,0.6,4,9,3,0,1.1,59,19,4.3,0.4,0.4,Gaming,8,9.1,10.0,
14,Melanie Phillips,17,Female,8.7,5.5,95.0,6,1.9,2,8,2,1,0.7,76,8,4.2,1.3,1.5,Education,5,4.6,10.0,
15,Edwin Lambert,15,Other,6.4,8.5,79.0,3,0.0,2,8,9,1,0.5,50,14,5.0,1.2,0.0,Social Media,5,5.6,10.0,
16,Gregory Hughes,19,Other,4.4,6.6,97.0,6,1.6,8,10,4,1,1.2,134,17,2.2,1.5,1.8,Education,4,6.8,10.0,
17,Matthew Webb,15,Female,5.4,7.8,87.0,4,2.3,6,6,9,0,0.9,36,20,2.6,1.3,1.1,Gaming,9,1.4,10.0,
18,John Cooper,15,Other,3.0,6.1,80.0,5,1.4,1,4,2,1,1.2,95,16,3.0,1.9,0.2,Other,7,7.5,10.0,
19,Amy Greene,19,Female,7.9,8.5,96.0,6,0.1,5,2,4,1,1.0,58,9,2.2,1.9,1.3,Education,5,3.5,10.0,
20,Kathryn Perez,18,Male,5.4,5.9,69.0,4,1.3,2,7,8,0,0.6,83,19,1.6,1.0,0.4,Browsing,7,6.1,10.0,
21,Michael Williams,15,Female,3.0,5.1,83.0,4,1.1,1,9,4,1,1.5,58,6,1.7,1.7,2.0,Social Media,8,6.7,6.2,
22,Patricia Johnson,16,Female,2.7,6.3,92.0,3,1.4,2,9,3,1,1.7,112,17,2.1,2.6,0.9,Gaming,10,5.7,9.9,
23,Jennifer Davis,14,Other,2.7,5.1,60.0,9,0.0,4,6,2,0,1.7,117,16,2.5,1.3,0.2,Education,5,4.8,9.5,
24,Desiree Brady,19,Male,6.9,3.6,79.0,5,1.0,5,5,10,1,0.8,32,7,2.0,1.3,1.2,Education,7,6.6,10.0,
25,Mark Crawford,19,Other,4.6,7.2,85.0,7,1.3,7,6,4,0,1.1,71,5,1.8,0.8,1.1,Social Media,8,6.2,6.0,
26,Samantha Sanchez,16,Male,5.5,5.9,78.0,5,1.2,1,7,3,0,0.7,44,14,0.9,1.3,1.3,Gaming,3,3.9,8.4,
27,Kelly Giles,19,Male,6.2,4.5,65.0,3,1.3,5,7,1,0,1.1,115,10,2.1,1.6,1.0,Social Media,7,6.6,10.0,
28,Jeffrey Crawford,19,Male,4.9,9.3,50.0,4,0.0,7,4,1,0,0.3,117,5,3.5,4.0,0.9,Education,3,7.0,10.0,
29,Tammy Gallegos,17,Female,6.6,8.1,77.0,7,1.0,6,1,3,1,1.5,147,14,2.0,1.7,1.6,Education,8,9.2,10.0,
30,Jared Bridges,19,Other,8.6,5.2,63.0,0,1.1,6,4,8,0,1.3,72,15,0.2,1.8,0.7,Browsing,9,6.6,10.0,
31,Bailey Flores,15,Other,4.1,4.5,59.0,8,0.8,10,1,8,0,0.6,32,10,2.2,1.0,0.5,Education,9,9.3,7.7,
32,Jennifer Hudson,19,Male,4.2,6.9,86.0,8,1.7,5,1,9,1,1.0,100,15,2.6,2.2,0.9,Browsing,4,6.9,10.0,
33,Kathleen Friedman,19,Male,8.0,5.5,87.0,7,2.2,1,8,5,0,1.0,26,16,3.3,1.3,2.6,Gaming,6,5.2,10.0,
34,Cynthia Fisher,16,Male,3.3,5.3,50.0,4,0.0,7,1,6,0,0.3,141,14,0.7,3.2,0.0,Gaming,5,5.1,10.0,
35,Amy Carroll,16,Male,4.7,6.6,59.0,6,1.5,10,4,7,1,0.6,123,18,1.0,1.1,1.2,Social Media,2,0.3,9.6,
36,Monica Roberts,15,Male,3.9,6.3,64.0,9,1.3,6,7,8,1,0.9,135,11,1.2,1.5,1.5,Social Media,7,2.2,8.4,
37,Laura Steele,13,Female,4.4,6.8,62.0,8,1.4,2,1,10,0,1.7,66,7,0.9,0.0,0.0,Browsing,1,6.9,4.6,
38,Lauren Matthews,13,Male,8.3,6.2,65.0,9,1.3,5,6,8,1,1.3,144,5,2.3,0.0,1.5,Other,1,2.9,10.0,
39,Marcus Stephens,16,Other,7.4,6.9,67.0,0,1.7,6,6,8,0,1.6,117,16,1.6,0.7,0.7,Social Media,8,4.6,10.0,
40,Cameron Hansen,16,Female,1.7,6.8,68.0,9,0.8,5,9,1,1,0.7,107,18,2.4,0.6,0.0,Education,6,6.2,7.0,
41,Richard Choi,13,Other,6.2,8.3,77.0,1,0.4,7,2,4,0,1.1,141,5,3.8,1.4,0.9,Browsing,8,6.2,10.0,
42,Nicholas Gomez,19,Other,5.2,7.2,96.0,5,0.1,4,10,3,0,0.7,119,16,3.0,1.7,0.6,Gaming,3,6.1,10.0,
43,Jessica Smith,15,Other,3.3,5.3,89.0,7,0.0,9,6,9,0,0.3,77,18,1.1,1.0,0.0,Gaming,9,10.4,7.9,
44,Brittany Myers,13,Male,6.9,6.2,89.0,4,1.1,3,2,7,1,0.3,140,13,3.0,1.9,0.7,Gaming,9,4.1,10.0,
45,Alicia White,13,Male,6.6,5.0,88.0,8,2.1,10,7,10,0,2.0,56,20,2.1,1.4,0.4,Education,9,6.2,10.0,
46,Brandi King,18,Female,1.0,6.2,60.0,5,1.4,6,3,10,0,0.4,25,16,3.1,0.0,2.0,Gaming,4,5.8,4.7,
47,Kenneth Travis,17,Male,6.7,4.7,67.0,3,1.3,10,1,3,0,0.8,129,6,2.8,0.8,1.7,Gaming,7,9.9,10.0,
48,James Sanchez,19,Other,7.1,7.1,67.0,2,0.4,1,1,4,0,2.6,119,16,2.8,2.4,0.0,Gaming,4,5.3,10.0,
49,Tyrone Cabrera,18,Male,4.7,6.5,69.0,6,1.5,10,3,1,0,1.3,119,5,3.4,1.0,0.0,Gaming,10,4.7,9.2,
50,Curtis Castro,14,Male,8.1,7.2,91.0,6,1.4,8,7,8,1,0.3,120,13,1.4,2.2,1.9,Education,9,6.0,10.0,
51,Steven Chavez,14,Male,4.3,5.9,75.0,4,2.5,5,1,8,1,2.2,105,17,1.9,1.4,1.4,Other,1,3.1,10.0,
52,Cody Young,17,Male,3.9,8.4,97.0,3,0.5,1,7,8,0,1.2,66,13,4.3,1.6,1.0,Education,6,4.9,9.5,
53,Victoria Clark,13,Other,9.0,7.3,79.0,6,1.1,1,1,7,1,0.8,127,17,3.1,1.5,0.0,Education,1,6.9,10.0,
54,Peggy Bond,15,Other,4.5,7.8,93.0,5,1.0,7,7,2,1,1.3,83,17,2.6,1.2,2.4,Education,8,6.0,9.5,
55,Candace Anderson,14,Other,4.4,4.1,56.0,9,1.7,7,7,1,1,0.8,129,16,4.9,1.4,0.6,Other,10,6.1,10.0,
56,Tammy Payne,19,Other,5.9,8.5,87.0,2,0.0,4,10,9,0,1.5,48,6,3.0,1.5,0.7,Social Media,2,6.5,8.3,
57,Mrs. Lauren Ayala,17,Other,3.3,6.1,78.0,2,3.6,2,9,9,1,1.2,141,17,1.9,1.0,0.2,Education,8,5.1,9.4,
58,Edward Jackson,15,Female,2.9,5.5,71.0,1,1.1,9,2,1,1,0.9,117,10,2.0,1.6,1.3,Gaming,7,4.6,8.1,
59,Kathleen Hoffman,17,Male,3.4,4.7,79.0,10,0.9,8,4,5,0,0.6,123,6,3.0,1.7,0.7,Other,5,7.6,9.4,
60,Kelly Carrillo,17,Female,6.3,7.4,77.0,8,1.6,4,4,10,0,1.4,110,8,3.7,1.5,1.9,Gaming,1,3.1,10.0,
61,Derek York,19,Male,3.7,7.9,89.0,9,0.7,8,7,7,0,0.3,92,7,0.9,2.1,0.9,Education,7,2.0,6.0,
62,Ashley Velasquez,18,Male,4.7,6.9,77.0,7,0.9,6,10,1,0,1.0,105,12,0.7,1.3,0.0,Education,8,8.3,7.8,
63,Sara Williams,17,Other,6.7,7.9,54.0,8,1.3,7,10,7,0,0.2,84,9,2.2,1.3,1.4,Education,9,7.9,9.7,
64,Linda Fletcher,18,Female,5.3,7.7,63.0,1,2.2,10,6,4,1,0.7,135,6,1.7,2.4,1.6,Other,9,5.7,9.4,
65,Jaclyn Salazar,17,Male,8.7,5.2,87.0,5,0.0,4,8,2,1,1.2,146,10,4.0,0.6,0.4,Gaming,6,5.9,10.0,
66,Stephanie Fletcher,17,Other,3.9,8.0,80.0,3,1.5,4,5,10,0,0.3,41,11,2.6,0.0,1.1,Social Media,2,5.7,5.5,
67,Zachary Parks,16,Female,7.4,6.6,100.0,3,1.1,2,3,5,1,1.3,90,19,2.1,0.8,0.6,Other,9,9.3,10.0,
68,Chelsey Dillon,18,Female,6.8,10.0,98.0,7,1.7,7,8,3,1,1.7,72,16,2.4,1.0,2.0,Social Media,10,7.6,9.8,
69,Elijah Lewis,18,Female,7.0,8.0,70.0,5,1.9,8,5,7,1,0.7,133,9,1.6,0.6,0.4,Gaming,5,1.8,9.7,
70,Joseph Franklin,16,Male,5.8,7.2,88.0,5,1.0,9,9,2,0,0.7,30,15,2.6,0.7,0.5,Browsing,10,9.7,9.1,
71,Christine Hansen,17,Other,4.1,5.5,67.0,2,0.2,1,7,4,1,0.5,120,16,4.3,2.1,2.0,Browsing,8,11.0,10.0,
72,Kristen Holmes,19,Other,4.9,4.4,86.0,5,1.8,7,6,7,1,0.9,90,15,2.5,1.2,0.5,Other,2,4.2,10.0,
73,Michelle Ellis,18,Male,4.4,6.6,95.0,3,1.1,8,1,3,1,0.6,91,15,2.2,1.6,0.8,Education,1,3.9,9.7,
74,Dr. David Howard,19,Male,6.3,3.0,58.0,8,1.1,5,2,8,0,0.6,48,6,3.9,1.1,0.1,Other,6,8.5,10.0,
75,Michael Tucker,15,Male,5.8,6.9,84.0,8,2.3,3,9,3,1,0.5,106,7,3.1,1.2,1.5,Social Media,6,5.5,10.0,
76,Brenda Lee,13,Female,6.5,7.2,58.0,10,0.3,9,6,5,0,1.1,74,6,2.6,2.0,1.1,Gaming,9,8.7,10.0,
77,Jennifer Levine,17,Female,5.8,7.0,76.0,8,1.7,5,5,5,1,1.7,116,19,3.0,2.2,2.2,Education,9,3.3,10.0,
78,Joshua Moore,19,Other,5.1,7.0,64.0,4,1.5,10,6,7,0,1.7,140,5,0.5,1.7,0.9,Gaming,2,7.7,7.6,
79,Marcus Gibson,13,Other,5.2,6.0,87.0,0,0.8,1,5,8,1,1.6,79,11,4.2,0.0,1.2,Gaming,6,3.7,10.0,
80,Mackenzie Wright,13,Male,4.8,8.6,78.0,8,0.0,3,3,10,1,1.0,51,9,3.0,2.4,1.6,Social Media,7,7.1,8.7,
81,Christopher Smith,19,Male,4.3,4.3,91.0,6,0.0,9,8,5,0,0.9,98,7,2.2,0.6,0.3,Social Media,8,5.2,8.3,
82,Andrew Kim,19,Female,7.6,6.4,88.0,4,0.0,6,4,8,0,1.8,77,15,4.6,0.0,0.0,Gaming,7,7.1,10.0,
83,Rebecca Reynolds,17,Female,5.5,6.9,65.0,3,0.4,6,9,9,1,0.4,82,6,1.6,1.1,0.2,Browsing,4,6.2,7.6,
84,Catherine Bradshaw,15,Other,4.8,6.3,76.0,8,1.6,2,6,7,1,1.1,136,11,4.8,1.3,1.2,Social Media,8,5.3,10.0,
85,Tammy Carter,19,Other,7.4,6.3,75.0,6,1.5,9,7,2,1,0.3,85,9,2.9,2.9,0.0,Social Media,1,7.6,10.0,
86,Maria Ochoa,16,Male,3.8,5.1,85.0,1,0.0,8,7,8,0,0.6,104,10,1.8,0.5,1.3,Social Media,9,9.3,7.6,
87,James Herrera,13,Other,7.3,5.6,84.0,1,0.2,4,1,8,0,1.2,22,11,2.2,2.0,0.9,Other,1,4.1,10.0,
88,Brian Coleman,19,Female,0.7,4.6,64.0,6,1.3,10,1,9,0,0.4,146,10,2.2,0.2,1.3,Other,3,5.3,5.7,
89,Gregory Martinez,14,Male,3.0,6.6,82.0,0,0.8,1,3,3,0,0.6,84,6,3.7,2.3,1.0,Other,9,6.7,8.6,
90,Richard Nichols,19,Other,4.0,7.4,83.0,3,0.3,10,4,4,0,0.6,55,18,4.1,0.8,0.0,Gaming,3,7.4,9.9,
91,Steven Tanner,16,Other,8.1,6.8,59.0,1,0.0,7,3,1,0,0.6,129,7,0.7,2.5,1.5,Other,1,5.1,10.0,
92,Michael Farmer,17,Male,5.2,6.6,56.0,10,0.9,6,8,4,0,0.5,98,16,2.4,1.4,1.0,Other,5,8.1,10.0,
93,Keith Ward,18,Other,1.7,6.2,52.0,8,1.3,2,2,7,0,1.3,76,17,1.1,1.9,0.7,Social Media,7,6.5,6.5,
94,Aaron Parker,15,Male,6.8,7.4,100.0,9,1.1,6,7,7,0,1.9,123,11,4.2,1.6,0.7,Social Media,5,6.8,10.0,
95,Wesley Miller,18,Female,6.4,10.0,89.0,0,1.2,9,9,8,0,0.5,128,9,4.1,3.2,1.4,Education,2,4.6,10.0,
96,Tiffany Santiago,17,Male,7.2,7.4,63.0,7,0.1,2,3,8,0,0.7,112,11,3.8,0.5,0.5,Social Media,4,2.3,10.0,
97,Lindsey Sloan,18,Female,3.3,5.7,93.0,5,1.7,9,6,7,1,0.1,72,17,3.6,1.2,0.3,Other,10,6.6,10.0,
98,Kristin Martin,16,Male,4.7,8.5,98.0,3,0.2,4,5,8,0,0.1,20,16,2.8,1.3,0.3,Social Media,8,6.2,8.2,
99,Valerie Blevins,18,Female,2.8,7.0,93.0,5,0.8,4,5,2,0,1.5,42,6,2.8,1.0,0.6,Social Media,10,8.2,5.1,
100,Morgan Mills,16,Female,6.2,8.7,53.0,1,0.1,7,6,10,1,0.5,24,12,1.6,2.5,1.0,Other,7,6.7,8.8,
101,Christian Perkins,17,Male,6.7,8.5,91.0,4,1.4,8,7,2,0,0.2,49,9,2.1,3.5,1.5,Browsing,8,5.7,10.0,
102,John Evans,14,Other,2.2,5.1,69.0,7,1.0,6,3,8,1,1.3,24,16,2.6,2.2,1.1,Other,9,7.6,8.1,
103,Ashley Chang,13,Female,4.1,6.3,57.0,3,2.0,5,3,7,0,0.4,78,13,1.7,2.2,0.3,Gaming,3,5.8,9.0,
104,Julia Ross,13,Male,5.3,5.9,85.0,9,0.6,6,1,2,1,0.9,98,14,2.3,2.6,0.9,Education,8,8.9,10.0,
105,Ashley Foster,18,Female,4.7,3.4,71.0,1,1.8,7,4,7,1,1.5,87,9,0.1,0.0,0.0,Education,7,6.7,6.6,
106,Katherine Hensley,19,Other,4.5,7.4,67.0,9,1.1,10,1,2,1,0.8,68,11,2.6,1.0,0.9,Gaming,4,7.4,8.0,
107,Christopher Watts,13,Male,5.6,5.8,85.0,4,0.6,1,2,8,1,1.4,44,7,2.1,0.0,1.5,Gaming,7,6.6,7.1,
108,Benjamin Bradley,15,Other,7.3,5.0,67.0,2,0.5,8,5,5,0,1.4,77,18,1.2,1.1,0.8,Gaming,4,8.0,10.0,
109,Rebecca Edwards,18,Female,4.6,9.4,55.0,2,0.8,2,4,5,1,1.1,113,7,1.6,1.7,1.6,Education,4,8.6,6.9,
110,Sarah Harrison,15,Other,2.0,5.9,74.0,5,0.9,2,9,6,0,1.1,47,12,2.0,1.3,1.4,Other,1,4.4,5.7,
111,Kimberly Hooper,14,Male,1.6,6.1,70.0,7,0.0,9,5,1,0,1.6,42,5,4.8,0.8,1.5,Social Media,3,1.8,6.0,
112,Melissa Becker DDS,18,Other,2.0,7.5,76.0,0,1.1,1,7,2,1,0.9,115,7,1.4,1.9,1.3,Gaming,10,5.6,5.2,
113,John Griffin,16,Male,3.0,4.7,51.0,10,3.0,1,8,1,1,0.3,42,18,1.7,3.3,0.0,Education,3,6.7,10.0,
114,James Alvarez,15,Female,6.9,3.9,73.0,9,2.2,1,6,4,0,0.8,58,16,3.3,2.8,1.8,Education,3,4.9,10.0,
115,Brad Sanchez,16,Other,5.5,5.4,63.0,8,0.0,5,10,3,1,2.0,72,14,1.4,0.0,0.8,Other,1,8.3,8.4,
116,Cory Santiago,15,Female,6.6,9.5,53.0,5,1.0,8,4,1,0,0.8,121,13,4.5,1.7,2.8,Gaming,6,6.4,10.0,
117,Shelley Curtis,19,Other,8.3,5.7,58.0,9,1.6,3,1,3,0,0.1,21,9,1.7,0.8,1.2,Other,10,6.5,10.0,
118,Cheryl Thomas,18,Other,3.6,3.1,56.0,0,2.4,5,9,4,1,0.9,80,16,3.2,0.3,1.5,Social Media,7,7.3,10.0,
119,Meagan Banks,17,Male,5.4,3.1,88.0,0,0.0,7,10,10,0,0.7,29,11,2.9,0.3,0.5,Social Media,3,1.7,9.8,
120,Dr. Elizabeth Porter,19,Other,2.1,7.3,71.0,7,0.5,4,1,4,1,1.7,54,9,2.5,1.5,1.6,Education,5,2.1,5.3,
121,Monica Shelton,16,Male,7.8,7.4,81.0,0,1.9,5,6,10,0,1.1,135,14,3.6,1.1,1.3,Browsing,6,4.5,10.0,
122,Heather Wilson,14,Male,4.3,3.9,64.0,2,2.9,10,10,6,1,0.6,119,9,1.1,1.4,1.8,Other,4,6.7,9.0,
123,Angie White,18,Other,7.4,7.4,80.0,0,1.1,1,2,3,0,1.9,57,20,1.9,0.9,1.6,Gaming,10,4.6,10.0,
124,Grace Mullen,18,Female,6.4,7.9,72.0,4,2.0,5,6,4,1,0.7,23,13,0.7,2.4,0.7,Other,3,7.4,8.6,
125,Megan Colon,13,Other,2.0,8.4,78.0,10,1.6,5,1,10,0,0.4,140,17,2.0,0.8,2.4,Gaming,1,5.1,6.8,
126,Christine Cunningham,15,Male,2.6,6.8,65.0,0,1.3,6,5,2,1,1.0,26,6,1.8,2.8,1.1,Other,6,9.5,5.5,
127,Sonya Armstrong,13,Other,4.4,5.0,68.0,7,3.7,2,4,8,0,1.8,70,18,2.4,1.1,0.7,Browsing,2,5.1,10.0,
128,Heather Johnson,16,Other,4.8,6.5,57.0,7,0.7,9,10,8,0,0.8,68,16,0.5,3.7,0.0,Education,3,7.9,10.0,
129,Jennifer Chen,15,Other,7.7,5.9,75.0,2,2.2,2,8,10,0,1.0,74,16,2.4,2.9,0.9,Browsing,2,4.2,10.0,
130,Charles Williams,17,Other,4.2,5.6,88.0,10,0.5,9,6,2,0,1.1,58,19,3.3,0.4,0.2,Gaming,5,7.1,10.0,
131,Denise Peters,17,Other,4.6,5.7,98.0,4,0.6,8,5,1,0,1.1,46,18,2.2,2.5,1.7,Browsing,3,7.4,10.0,
132,Pamela Torres,19,Male,2.9,6.5,94.0,5,0.0,8,7,5,0,1.3,126,15,3.3,1.1,0.0,Gaming,4,3.4,9.6,
133,Sandra Hanson,14,Female,6.8,5.5,55.0,1,0.6,9,10,10,0,1.1,129,10,3.2,2.6,0.7,Browsing,8,4.9,10.0,
134,Donna Shaffer,18,Male,4.7,5.9,61.0,10,0.1,10,4,2,0,2.0,95,12,3.3,2.4,0.6,Social Media,3,5.1,10.0,
135,Erin Garcia,19,Female,4.1,7.6,85.0,6,0.1,3,3,3,0,0.8,25,20,3.0,0.2,1.5,Other,3,7.7,8.0,
136,Amy Smith,14,Female,0.0,6.0,75.0,0,0.8,5,7,4,0,1.2,111,7,3.0,1.6,0.0,Education,1,3.6,5.2,
137,Megan Knight,15,Female,4.3,9.3,61.0,2,0.0,7,8,4,1,0.3,31,5,2.6,2.6,0.8,Other,5,6.4,6.5,
138,Valerie Henderson,13,Male,3.3,8.0,60.0,7,0.4,6,6,2,0,1.6,70,20,3.0,1.5,0.8,Education,9,4.9,9.2,
139,Austin Nelson,14,Female,8.0,5.8,79.0,7,1.1,1,1,4,1,0.7,130,17,1.8,2.4,1.4,Browsing,4,4.5,10.0,
140,Michael Evans,17,Other,5.0,5.1,90.0,3,1.0,6,8,9,1,0.7,68,18,2.6,2.4,1.3,Browsing,9,8.3,10.0,
141,Diane Day,18,Other,2.5,4.8,51.0,10,1.3,6,10,1,1,0.5,83,6,2.0,0.0,3.0,Gaming,5,4.5,5.0,
142,Brian Mcdonald,14,Female,4.8,4.0,81.0,0,1.6,9,5,4,1,1.4,124,18,2.8,2.2,1.4,Browsing,6,4.7,10.0,
143,Eric Hunter,18,Other,5.0,5.5,71.0,6,0.4,7,3,10,1,1.0,92,14,1.5,0.6,1.5,Browsing,7,9.0,9.0,
144,Victoria Huff,16,Female,7.1,3.0,56.0,6,0.0,1,4,1,1,1.4,116,18,2.2,2.3,2.1,Other,5,4.1,10.0,
145,Ana Le,18,Female,7.9,6.5,55.0,4,0.0,8,9,5,1,2.0,97,11,1.8,0.8,0.3,Gaming,9,2.4,10.0,
146,Daniel Robinson,14,Male,7.4,6.4,81.0,9,0.4,4,10,4,1,1.4,116,6,1.2,0.0,1.0,Social Media,5,3.9,8.9,
147,Justin Collins,15,Female,2.5,5.4,66.0,0,0.6,9,8,4,0,0.6,85,14,1.9,1.2,1.7,Social Media,9,5.0,7.4,
148,Paula Jones,19,Male,6.4,7.8,62.0,3,0.0,6,3,7,1,0.6,41,11,2.6,3.6,2.2,Other,5,9.4,10.0,
149,Kathryn Matthews,16,Other,7.0,7.9,89.0,1,0.7,3,10,8,0,1.0,56,11,2.4,0.8,0.0,Other,9,3.2,9.6,
150,Michelle Jones,13,Female,5.1,4.3,63.0,9,1.3,4,8,6,0,0.0,49,6,3.0,0.8,2.2,Browsing,1,7.9,8.9,
151,Erica Brown,14,Male,6.9,7.1,98.0,8,0.2,8,4,8,0,1.2,54,7,1.3,0.8,0.3,Gaming,10,6.9,7.9,
152,Michelle Perez,13,Female,4.0,6.2,59.0,7,0.2,10,10,1,0,0.7,114,13,2.7,2.5,0.8,Social Media,5,6.9,10.0,
153,Steven Davis,16,Male,6.6,9.4,82.0,3,1.1,7,4,7,0,0.3,83,20,0.7,1.8,0.5,Gaming,5,3.5,10.0,
154,Lynn Smith,18,Male,5.7,6.2,77.0,3,1.6,4,1,8,0,2.0,115,12,2.3,1.0,1.9,Education,3,6.2,10.0,
155,Maria Fuller DDS,13,Other,2.9,5.8,67.0,9,0.0,7,3,1,0,1.1,86,13,2.6,1.7,0.9,Education,8,7.0,8.6,
156,Sheila Bennett,17,Female,4.8,4.1,63.0,9,1.2,9,7,7,0,0.3,91,20,1.9,1.6,1.4,Gaming,4,8.0,10.0,
157,Elizabeth Harding,16,Female,7.3,6.3,77.0,6,0.5,3,5,6,0,0.7,138,6,2.8,1.7,2.4,Browsing,4,8.6,10.0,
158,Bradley Jones,13,Female,4.9,5.6,98.0,8,0.4,4,2,3,1,0.5,121,10,4.1,0.7,1.3,Other,1,6.3,10.0,
159,Juan Carpenter,19,Male,6.7,5.9,79.0,7,0.0,2,9,7,1,0.2,130,17,2.2,2.1,0.2,Browsing,5,3.1,10.0,
160,Michael Garcia,19,Other,2.2,8.2,60.0,5,2.0,10,7,3,1,0.5,70,10,3.4,1.1,2.3,Gaming,2,9.7,6.0,
161,Michael Parker,13,Male,3.3,7.6,55.0,0,0.0,4,2,6,0,1.2,47,15,2.8,0.0,0.6,Browsing,1,7.2,6.2,
162,Alan Torres,14,Other,6.8,4.8,76.0,6,2.2,2,8,5,1,0.9,142,12,4.0,0.0,1.6,Other,5,7.9,10.0,
163,Mary Roman,18,Other,5.2,6.6,93.0,4,0.0,8,10,4,1,1.1,36,18,2.5,1.9,1.6,Education,10,7.5,10.0,
164,Joshua Moore,19,Male,6.0,3.1,78.0,1,1.0,4,4,2,0,0.6,130,6,2.7,1.8,1.6,Browsing,3,10.0,10.0,
165,Douglas Mason,15,Other,5.9,5.0,74.0,1,1.0,9,8,3,1,0.8,94,6,4.6,2.7,1.2,Gaming,2,4.0,10.0,
166,Donna Morgan,19,Female,3.7,4.6,72.0,0,0.6,4,10,7,1,1.2,146,18,2.0,2.2,1.8,Gaming,10,4.6,10.0,
167,Russell Klein,17,Male,8.4,7.7,57.0,3,1.4,6,8,5,0,0.5,49,14,1.3,1.5,1.4,Education,10,4.6,10.0,
168,Alexander Bailey,15,Other,0.8,7.4,70.0,7,1.7,9,1,1,1,0.8,67,10,2.9,0.9,1.2,Browsing,6,8.9,4.2,
169,Jordan Shelton,18,Other,7.2,3.0,84.0,4,1.8,3,8,5,1,0.9,83,8,2.9,2.6,1.6,Education,4,6.4,10.0,
170,Robert Decker,13,Male,4.6,5.3,91.0,4,0.9,10,3,6,1,0.8,129,6,1.6,2.2,0.8,Social Media,6,3.4,9.5,
171,Travis Ponce,19,Male,2.4,6.8,63.0,8,0.0,9,8,7,0,0.8,50,16,2.0,1.3,0.9,Other,1,8.0,6.5,
172,Jennifer Young,16,Female,4.3,6.6,94.0,9,1.0,2,10,4,0,0.8,47,17,1.6,1.4,0.0,Social Media,5,0.7,8.3,
173,David Logan,14,Other,6.8,6.1,92.0,8,2.0,9,1,5,1,1.0,46,6,2.1,1.7,1.7,Other,5,2.9,9.7,
174,Jonathan Roberts Jr.,13,Other,6.3,5.4,100.0,8,2.0,5,5,3,0,1.8,30,12,1.6,1.4,1.8,Browsing,5,5.5,9.6,
175,William Wolfe,13,Female,5.3,9.7,52.0,5,1.0,3,3,8,1,1.7,145,9,2.3,1.3,0.0,Education,6,7.3,8.8,
176,Sharon Smith,17,Other,4.4,5.7,99.0,2,1.2,1,4,10,1,0.9,58,9,2.5,1.0,0.6,Other,2,4.3,8.0,
177,Brittany Kirk,16,Other,8.1,6.7,50.0,0,2.0,4,7,7,1,0.5,63,7,2.1,0.0,1.8,Other,7,7.2,9.5,
